EventType,Corresponding Frame(s),FrameNetDefinitions,Generic_Definition,Cumulativity,Homeomericity,TemporalExtent,Agentivity
Commerce pay,Commerce pay,"[Commerce_pay] This frame involves Buyers paying Money for Goods.  In this frame the Money is the direct object, and is mapped to the theme of the transfer.  'I paid her $50 for a video game.'",An event where a Buyer transfers Money to another party as compensation for receiving Goods or Services.,anti-cumulative,homeomeric,atomic,agentive
Commerce sell,Commerce sell,"[Commerce_sell] These are words describing basic commercial transactions involving a buyer and a seller exchanging money and goods, taking the perspective of the seller.  The words vary individually in the patterns of frame element realization they allow. For example, the typical patterns for SELL: SELLER sells GOODS to BUYER for MONEY.  'Robin sold a car to Abby for $5,000.'",An event where a Seller transfers Goods to a Buyer in exchange for Money.,anti-cumulative,homeomeric,atomic,agentive
Commitment,Commitment,[Commitment] A Speaker makes a commitment to an Addressee to carry out some future action.  This may be an action desirable (as with promise) or not desirable (as with threaten) to the Addressee. Some of the words in this frame allow an Addressee to be expressed. 'You promised me you'd come to my graduation.' Other words cannot normally occur with an Addressee. 'Kim undertook to finish the project by June.',"An event where a Speaker pledges or undertakes to perform a specific action in the future, directed toward or concerning an Addressee.",anti-cumulative,homeomeric,atomic,agentive
Committing crime,"Committing crime, Misdeed, Offenses","[Committing_crime] A Perpetrator (generally intentionally) commits a Crime, i.e. does something not permitted by the laws of society.  'They perpetrated a felony by substituting a lie for negotiations.'  'The suspect had allegedly committed the crime to gain the attention of a female celebrity.'
[Misdeed] A Wrongdoer engages in a Misdeed.  'You have sinned for the last time, Stephen!'
[Offenses] Words in this frame describe acts in violation of a legal code.  'He was accused of hijacking a tour bus full of people.'","An event where a Perpetrator or Wrongdoer intentionally engages in an act that violates legal, social, or moral codes, thereby committing a crime, offense, or misdeed.",anti-cumulative,anti-homeomeric,durative,agentive
Competition,Competition,"[Competition] This frame is concerned with the idea that people (Participant_1, Participant_2, or Participants) participate in an organized, rule-governed activity (the Competition) in order to achieve some advantageous outcome (often the Prize).  Rank and Score are different criteria by which the degree of achievement of the advantageous outcome is judged.  'He and I played tennis.' ","An event where Participants engage in a structured, rule-governed activity to achieve an advantageous outcome, often evaluated by criteria such as rank or score.",anti-cumulative,anti-homeomeric,durative,agentive
Giving,"Conferring benefit, Offering, Giving, Post giving","[Conferring_benefit] A Benefactor confers a Beneficial_situation to a Beneficiary.  Unlike in Commerce_scenario, the recipient is not necessarily required to pay for the good or service that they receive.  Therefore, the element of benevolence is profiled.  Dual FE-layer annotation:  'His presence at the summit did not BENEFIT diplomatic relations in the slightest.' 'His'  'The foundation's 50m donation BENEFITS the country's educational system immensely.' 'The foundation's'
[Offering] An Offerer indicates that he or she is able and willing to give a Theme to a Potential_recipient. In the absence of further qualifications, it is often understood that the Potential_recipient accepts the Theme.  'The host graciously offered us food and drink.'
[Giving] A Donor transfers a Theme from a Donor to a Recipient.  This frame includes only actions that are initiated by the Donor (the one that starts out owning the Theme).  Sentences (even metaphorical ones) must meet the following entailments: the  Donor first has possession of the Theme.  Following the transfer the Donor no longer has the Theme and the Recipient does. 'Barney gave the beer to Moe.' '$300 was endowed to the university to build a new performing arts building.'
[Post_giving] The stage immediately after the Donor gives the Recipient the Theme, i.e. when the Recipient has possession of the Theme and the Donor no longer does. ","An event where a Benefactor, Donor, or Offerer initiates the transfer or availability of a Benefit, Theme, or Good to a Beneficiary or Recipient, resulting in a new possession or favorable situation for the Receiver, typically motivated by generosity or willingness rather than obligation.",anti-cumulative,anti-homeomeric,durative,agentive
Confronting problem,"Confronting problem, Difficulty","[Confronting_problem] An Agent becomes involved in an Issue which has negative consequences for them. The Agent will normally respond to resolve the Issue.  'I confronted both issues.'
[Difficulty] An Experiencer has an easy or difficult time carrying out an Activity. The ease or difficulty associated with the Activity seems to often be associated with a prominent participant. However, we consider this impression to be due to the syntax and pragmatics of the relevant sentence constructions and employ no special FE for such participants. The Degree of ease or difficulty is often specified as well as a set of Circumstances. A Parameter may be mentioned that indicates in which respect the Activity is judged to be easy or difficult. '' Unmarked LUs of this frame indicate that something is easy, while LUs of this frame that mean the opposite of easy are marked with the semantic type ""Negative"", as in difficult.a, arduous.a, and a bitch.n.    '(1) John is easy to please.' '(2) It is easy to get Alex annoyed.' '(3) Smithers is very tough for me to please.' '(4) VWs are easy to repair.' '(5) The dating of western sculpture is difficult.' '(6) In that kind of wind the course is physically very tricky.' '(7) The last question on the exam was hard. ' '(8) The last one was a hard question to answer. '","An event or state where an Agent or Experiencer faces a challenge, obstacle, or negative Issue that affects their ability to act or complete an Activity, typically requiring effort, adaptation, or resolution.",anti-cumulative,anti-homeomeric,durative,agentive
Conquering,Conquering,"[Conquering] This frame describes a Theme losing its autonomy and perhaps sustaining material damage as the result of a successful invasion on the behalf of a Conqueror.  'The Spaniards conquered the Incas with both the Cross and the arquebus'  'He said that the aim had been the takeover of the Soviet government by ""advocates of swift privatization""'  'The Romans fell to the Goths in 410 AD.'  'Bright Star campaign forces captured the garrison town of Kajo Kaji' ","An event where a Conqueror successfully invades and takes control over a Theme, resulting in the Theme losing its autonomy, and possibly sustaining material damage.",anti-cumulative,homeomeric,atomic,agentive
Containing,"Containing, Containment","[Containing] In this frame a Container holds within its physical boundaries the Contents.  'The box holds three hundred pictures.'
[Containment] In this situation, a Container has within it some Contents. The Container has an Interior, a space which is potentially empty, but instead is occupied with the Contents.",An event or state where a Container physically encompasses or encloses some Contents within its boundaries.,cumulative,homeomeric,durative,non-agentive
Attack,"Counterattack, Attack, Invading, Suicide attack","[Counterattack] An Assailant physically attacks a Victim (which is usually but not always sentient), causing or intending to cause the Victim physical damage. The attack is a response to an earlier attack by the Victim on the current Assailant (or by actors associated with the Assailant or Victim).  A Weapon used by the Assailant may also be mentioned, in addition to the usual Place, Time, Purpose, Reason, etc.  Sometimes a location is used metonymically to stand for the Assailant or the Victim, and in such cases the Place FE will be annotated on a second FE layer.  'Are we counterattacking them just to keep them off balance?'
[Attack] An Assailant physically attacks a Victim (which is usually but not always sentient), causing or intending to cause the Victim physical damage.   A Weapon used by the Assailant may also be mentioned, in addition to the usual Place, Time, Purpose, Explanation, etc.  Sometimes a location is used metonymically to stand for the Assailant or the Victim, and in such cases the Place FE will be annotated on a second FE layer.  'As soon as he stepped out of the bar he was set upon by four men in ski-masks.' 'Is he invading Iraq just to cover other shortcomings?' 'Then Jon-O's forces ambushed them on the left flank from a line of low hills.'
[Invading] The Invader enters a Land in an aggressive attempt to cripple or dominate its people and its government.  'In August 1990 ,Iraq was invading Kuwait , which led to the Gulf war .'  'Some towns in Russia were ravaged by barbarian invasions in the thirteenth century.'  
[Suicide_attack] An Assailant attacks a Victim, intending to die in the process. In the prototypical case, the attack is designed to kill the Assailant, as when a pilot deliberately crashes a plane into the target.  'The terrorist suicide attack on U.S. troops early last week caused more damage than initially reported.'  'They kamikazed the base in the middle of the night!'","An event where an Assailant intentionally initiates aggressive physical action against a Victim or Target, typically aiming to cause harm, damage, or domination, regardless of whether the Assailant survives the attack.",anti-cumulative,anti-homeomeric,durative,agentive
Scrutiny,"Court examination, Scrutiny,
Inspecting, Scrutinizing for","[Court_examination] A Questioner asks a Witness (or defendant) questions in the context of a court procedure. 'We 'd like to cross-examine the witness if we can.'
[Scrutiny] This frame concerns a Cognizer (a person or other intelligent being) paying close attention to something, the Ground, in order to discover and note its salient characteristics.  The Cognizer may be interested in a particular characteristic or entity, the Phenomenon, that belongs to the Ground or is contained in the Ground (or to ensure that such a property of entity is not present).  Some words in this frame allow alternate expressions of the Groundand the Phenomenon: 'We searched the yard  for my contact lens.'
[Inspecting] An Inspector directs his/her perceptual attention to a Ground to ascertain whether the Ground is intact or  whether an Unwanted_entity is present. Alternatively, the desired outcome of the inspection may be presented as a Purpose.   'The police removed Flonnory and Barbour from the automobile and frisked them for weapons.' 'Double-check the form to make sure all of the information has been entered correctly.' 
[Scrutinizing_for] A Cognizer examines a Ground closely, alert to the presence of a Phenomenon.  ","An event where an Agent carefully examines or questions an Entity (such as a person, object, or situation) to uncover, verify, or detect specific information, characteristics, or issues, often with heightened attention or scrutiny.",anti-cumulative,anti-homeomeric,durative,agentive
Create artwork,"Create physical artwork, Craft","[Create_physical_artwork] A Creator creates an artifact that is typically an iconic Representation of an actual or imagined entity or event. The Representation may also be evocative of an idea while not based on resemblance.  'Diagrams must be clearly drawn on construction paper. CNI'  'I took his picture and told him that if it came out well I would make him a copy.'  'In about 1305 and 1306 Giotto painted a notable series of 38 frescoes.'
[Craft] A  particular Activity, performed conventionally or habitually by more than one Practitioner  within a Culture, is described  in terms of its method.   'One lived-in cabin also had a grassy roof, as if the craft of thatching had died out locally'  ","An event where a Creator intentionally produces a physical artifact or representation, often using culturally recognized techniques or craftsmanship, to depict, symbolize, or evoke an entity, event, or idea.",anti-cumulative,anti-homeomeric,durative,agentive
Criminal investigation,Criminal investigation,"[Criminal_investigation] This frame describes the process that involves the inquiry and determination by an authority, the Investigator, of the circumstances surrounding an Incident perpetrated by a Suspect.  'The police are investigating the bank's reported loss of several thousand dollars from their downtown branch's top security vault. DNI ' 'Authorities are investigating several murders. DNI'",An event where an Investigator systematically examines and gathers information to determine the circumstances of a suspected criminal Incident.,anti-cumulative,anti-homeomeric,durative,agentive
Cure,Cure,"[Cure] This frame deals with a Healer treating and curing an Affliction (the injuries, disease, or pain) of the Patient, sometimes also mentioning the use of a particular Treatment or Medication. This frame differs from Medical_intervention in that this frame deals only with cases in which the Patient is cured of the Affliction, not just treated for the Affliction. '' 'Isis then cured Re by reciting a spell.'  'Another student became convinced that God was going to heal the clergyman of his cancer.'","An event where a Healer successfully eliminates an Affliction from a Patient, restoring the Patient’s health, often through some form of Treatment or Medication.",anti-cumulative,anti-homeomeric,durative,agentive
Damaging,Damaging,"[Damaging] An Agent affects a Patient in such a way that the Patient (or some Subregion of the Patient) ends up in a non-canonical state.  Often, this non-canonical state is undesirable, and some lexical units (marked with the Negative semantic type) specifically indicate that the Patient is negatively affected.  Some lexical units of this frame indicate by what means the Patient is altered (e.g., scrape.v) and in some cases give some indication of the detailed effect on the Patient (e.g., score.v, chip.v), and in other cases, both are specified (tear.v). For another set of lexical units, the action and its result are much less specified (e.g., damage.v).  Compare this frame with Destroying, Cause_to_fragment, and Render_nonfunctional.  'That idiot just dented my car!' 'Some ne'er-do-wells defaced the Park's wall with spray paint to show their anger at local natural resources allocation policy.' 'Please don't damage the goods.'","Damaging is an event where something causes a negative change to another thing, leaving it in a worse condition than before.",cumulative,anti-homeomeric,durative,non-agentive
Death,"Death, Losing someone","[Death] The words in this frame describe the death of a Protagonist.  A Cause of death may also be expressed obliquely. '' 'The machine was not switched off, but Mr. Lavelle died of natural causes, police said.'  'To avenge the death of a son is not hasty work, if he is to be honored.'
[Losing_someone] This frame describes a Sufferer who experiences the loss of someone through death.  The LUs in this frame imply a strong emotional connection between the Sufferer and the Deceased. 'She lost her husband in the war.'","An event where a Protagonist ceases to live, and a connected Sufferer experiences emotional loss due to that death.",anti-cumulative,anti-homeomeric,durative,non-agentive
Deciding,"Deciding, Waver between options","[Deciding] A Cognizer makes a Decision, which may be about an entity or a course of action.  How (and whether) this frame is distinct from Choosing is currently up for debate.  'Mo decided to quit the program.' 
[Waver_between_options] A Cognizer faces a choice on some Issue. They have several Options  available but keep changing their mind between Option_1 and Option_2. The Cognizer may in fact act on their choice at some point but they need not; the Options can simply be considered for some time with one being favored for a while and then the other.  'Dave Hayes wavered about moving to California because so many of his friends are in Baltimore.'  'He had wavered between half a dozen places; it was pure chance that he had chosen Marvis Bay.'  'In any event, I still go back and forth on what I want to do. '  'He was firm in his beliefs, never waffled from one platform to another and was always harshly clear in his stance.'  'Upper management waffled whether Fletcher fit their salary structure.'","An event where a Cognizer evaluates options and either reaches a decision or fluctuates between possible choices regarding an entity, action, or issue.",anti-cumulative,anti-homeomeric,durative,agentive
Defending Repel,Defending,"[Defending] A Defender responds to an Assailant's attack on a Victim by directly, and usually violently, countering it.  'Samantha stalwartly defended the gateway from the wraiths, crouching low over Stephen's prone form.'",An event where a Defender actively resists or counters an attack made by an Assailant on a Victim.,anti-cumulative,anti-homeomeric,durative,agentive
Destroying,"Destroying, Cause to fragment, Render nonfunctional","[Destroying] A Destroyer (a conscious entity) or Cause (an event, or an entity involved in such an event) affects the Patient negatively so that the Patient no longer exists.  'An asteroid obliterated the dinosaurs.'
[Cause_to_fragment] An Agent suddenly and often violently separates the Whole_patient into two or more smaller Pieces, resulting in the Whole_patient no longer existing as such.  Several lexical items are marked with the semantic type Negative, which indicates that the fragmentation is necessarily judged as injurious to the original Whole_patient.  Compare this frame with Damaging, Render_non-functional, and Removing.  'He ripped up the letter faster than you can say ""Jack Robbins"". INI' 'Don't go in there or you 'll be torn to bits! CNI' 'She shattered the vase with a casual backhand blow to make it look like there had been a struggle. INI' 'Tear into 6"" strips, each about one inch wide, then bake at 400. CNI CNI'
[Render_nonfunctional] An Agent affects an Artifact so that it is no longer capable of performing its inherent function.  'I broke the TV.'","An Agent or Cause acts on a Patient in such a way that the Patient is fundamentally degraded — either by ceasing to exist, being broken into non-cohesive parts, or losing the ability to perform its intended function.",anti-cumulative,homeomeric,atomic,non-agentive
Dispersal,Dispersal,"[Dispersal] An Agent or a Cause disperses or scatters Individuals from the Source,a relatively confined space, to a the Goal_area, a broader space.  'She scattered his ashes in the bay.'","An event where an Agent or Cause moves Individuals from a confined Source to a broader Goal area, resulting in their spread or scattering.",cumulative,anti-homeomeric,durative,non-agentive
Escaping,"Dodging, Fleeing,
Escaping, Evading,
Quitting a place","[Dodging] A Dodger acts to avoid an oncoming moving Bad_entity. 'Mo dodged  the flower pot that Larry threw in disgust.'  The motion is relative, since the Dodger may be moving. 'Jogging through the dense woods, Mo dodged the low branches .'
[Fleeing] A Self_mover responds to a (real or imagined) danger by moving away from it.  'She had fled from DCS facilities several times before..' 'Pakistanis in US trying to flee to Canada hit roadblocks.' 'Anderson's division suddenly bolted north from Devil's Den, flanked out III Corps almost entirely, and shattered the entire Corps.' 'We fled for several miles before reaching our safe-house.'
[Escaping] A Self-moving Escapee departs from an Undesirable_location.   'Benjamin escaped from Germany.'
[Evading] An Evader moves under its own power to thereby avoid Capture  or contact with a Pursuer, also generally moving under its own power. This frame characterizes a  more specific event  than Avoiding in that both the Evader and the Pursuer are moving entities.  In addition, this frame differs from Escaping by requiring a Pursuer and being neutral about the prior captivity of the Evader.  'I gave my handler the slip.'  'He evaded capture for several hours.'
[Quitting_a_place] A Self_mover leaves an initial Source location.  The Path by which the Self_mover departs, and the Intended_goal of the Direction may also be mentioned.  In many words which evoke this frame, there is an additional implication that the Self_mover is discontented with the Source location.  'I left San Francisco for Vancouver.'","An event where a living being or entity moves intentionally to avoid danger, threat, capture, or undesirable conditions, often by leaving, dodging, fleeing, or escaping from a source, pursuer, or harmful situation.",anti-cumulative,anti-homeomeric,durative,agentive
Wearing,"Dressing, Clothing, Wearing","[Dressing] A Wearer puts on an item of Clothing, which then occupies the Body_location.  'You didn't have to dress like a pirate to impress me. INI' 'He put on his thickest pair of gloves and then went back out to see if he could move them now. INI' 'Jack put on his watch - on his right wrist, and checked the time.'
[Clothing] This frame refers to clothing and its characteristics,  including anything that people conventionally wear.  The Wearer wears a Garment that has a certain Style, is made of a certain Material, and can be otherwise characterized by a Descriptor.  In some cases, the Body_location (where the garment is worn) and Subregion of the clothing may also be specified.  'Claudia dressed in a dark green cotton DRESS clasped round her slender waist with a broad yellow belt , drank a cup of coffee and opened her neglected post .'
[Wearing] The words in this frame refer to what Clothing the Wearer (or a specific Body_part of the Wearer) has on.  'I had on the most ridiculous monkey-suit you could imagine.' 'These two losers were wearing bras on their heads!'  Many targets incorporate the Clothing item, and some targets describe the state of not wearing something (when it might be expected).  'Do you think anyone would notice if I went topless?'    NB: There is a very common metonymy in which characteristics of the clothing stand for the clothing itself, such as   'the man clad in leather.' 'She was dressed all in red.'  Such sentences should be tagged METAPHOR on the sentence level.","An event or state where a Wearer puts on, has on, or is characterized by wearing Clothing, which covers or adorns parts of their body.",cumulative,anti-homeomeric,durative,agentive
Arriving,"Drop in on, Visitor arrival, Visit host arrival, Arriving, Visiting scenario arrival","[Drop_in_on] A Visitor arrives at the Host_location as a guest of the Host, for the purpose of achieving a Purpose. The Purpose is often social in nature, i.e., the visit itself constitutes a goal.  'I'm gonna drop in on Kieth for a while.' 
[Visitor_arrival] An Agent arrives at a Goal that should enable their Purpose.
[Visit_host_arrival] The Visitor arrives at the Host_location to visit the Host.
[Arriving] An object Theme moves in the direction of a Goal. The Goal may be expressed or it may be understood from context, but its is always implied by the verb itself. '' 'Some students arrived at the school on Sunday.'  'It was his arrival at Nijmegen in 837 that made the Vikings withdraw.' 
[Visiting_scenario_arrival] An Agent arrives at a location that should help them achieve their Purpose. This situation is point-of-view-neutral.","An agent or theme moves toward and reaches a goal location, often to fulfill a purpose such as a visit, with or without prior arrangement.",anti-cumulative,homeomeric,atomic,agentive
Earnings and losses,Earnings and losses,"[Earnings_and_losses] An Earner receives Earnings by providing Goods to a Buyer; providing the Goods also generally entails a cost, which may or may not be included in the consideration.  This frame emphasizes the effect on the Earner and often generalizes across an indefinite number of transactions with various parties.  Some of the LUs (e.g. earn.v) primarily refer to the to the Earnings without reference to cost, others to the amount the Earnings differ from the cost, emphasizing either a net loss (e.g. loss.n) or net gain (e.g. net.n).  'This reflects the 15 % jump in earnings over 1994 .' 'We made nearly two million on resales alone last year .' 'After a $ 1.5 million loss , the company is in no state to continue .'","An event or state where an Earner gains or loses value based on providing goods or services, typically reflecting the net effect of transactions, including potential costs.",cumulative,anti-homeomeric,durative,agentive
Education teaching,Education teaching,"[Education_teaching] This frame contains words referring to teaching and the participants in teaching.  A Student comes to learn either about a Subject; a Skill; a Precept; or a Fact as a result of instruction by a Teacher.  Some of the nouns (schoolmaster, -mistress) in this frame refer to administrative positions and do not take relevant frame elements; these will be moved.    'Dad taught <fex name="""">me that if you work hard, you will be OK - no matter what happens. '  'What Our Cat  taught Me  About Marketing!'  'For two years she taught me French'  'Mom and Dad taught me not to bullshit, because it always came back to bite me in the ass, without fail. '  'A young swiss girl up in a swiss chalet taught me how to yodel.'  'Young Murdock later met a blind martial arts master known as Stick, who taught him how to use his augmented senses and trained him as a fighter.'  ' Maria, a woman studying to be a nun is sent from her convent to be the governess of the seven children of a widowed naval captain '  Frame-Element relations:  Several Frame element relations hold in this frame. There is a core-set {Material, Teacher} (possibly also including Institution); these FE's can fill the subject slot of the teach-type verbs. There is another core-set  {Precept, Subject, Skill, Fact, Role} to do with what is learnt. In addition, the FE Qualification may occur with Subject and Role  'My sister is studying for a maths degree    to be a teacher ' 'She's studying maths to be a teacher .'  Phrases expressing Qualification also very often include information about the Subject (see below), which is to be annotated on the second layer.  'Bill is studying for a BS in physics/a maths degree.' 'Bill is studying for a BS in physics/a maths degree.'  ","An event where a Teacher imparts knowledge, skills, facts, or principles to a Student through instruction, aiming to enable learning or mastery over a subject or capability.",cumulative,anti-homeomeric,durative,agentive
Emergency,"Emergency, Emergency fire","[Emergency] This frame characterizes the situation or state of affairs in which someone should or must act to prevent a Undesirable_event from occurring. Often, an Entity affected by the Undesirable_event is more salient than the event itself and is mentioned in its place.  'Jo had a peanut butter chocolate candy emergency.'
[Emergency_fire] A fire which burns and requires an emergency-type response.",A critical situation requiring immediate action to prevent or respond to a harmful event.,anti-cumulative,anti-homeomeric,durative,agentive
Emptying,"Emptying, Container focused removing","[Emptying] These are words relating to emptying containers and clearing areas of some substance or items. The area or container can appear as the direct object with all these verbs, and is designated  Source because it is the source of motion of the Theme. Corresponding to its nuclear argument status, it is also affected in some crucial way, unlike Source in other frames. Some words in this frame, such as empty, may also occur with Path or Goal expressions, e.g.  'The players emptied the bucket over his head. '
[Container_focused_removing] An Agent or Cause partially or totally changes the state of a Source object, towards having less of the Theme.  This frame is primarily for Inheritance.  ","An event where an Agent or Cause removes some or all of the contents (Theme) from a Source (typically a container or area), altering the Source’s state toward being emptier.",cumulative,anti-homeomeric,durative,non-agentive
Action,"Enforcing, Execute plan, Conduct, Intentionally act","[Enforcing] An Agent acts to ensure that a Rule (often a constraint on behavior) is being followed. The Agent's action is according to a general plan for Rules (such that implicit in the Rule is the affordance to certain entities to ensure that the Rule is followed). The Rule may be specified for the Duration for which it is in effect.  'Why don't we enforce the 20000 gun laws currently on the books across the nation?' 'Computer systems can ruthlessly enforce rules and standards indefinitely.' 'Can a landlord <target>enforce</target> rules upon tenants?'
[Execute_plan] An Agent acts according to a <em>Plan</em>, carrying it out (or taking steps to carry it out). In some cases, the Agent is a focal participant in the Plan, although a separate Focal_participant may also be mentioned. The Plan may be specified for the Duration for which it is in effect.  'Health authorities say they have put measures into effect in all ports of entry and in centers of provinces.' 'Channing House has recently implemented a new dining program for residents on pureed diets.'  Note: the phrase <em>(put) in effect</em> is in the Being_in_effect frame.
[Conduct] An Agent acts in a certain Manner either generally or under some particular Circumstances. The conduct may also be directed specifically towards an Affected_party.  ' He pledges to  conduct himself  with honesty and humility.' ' This year they have behaved themselves particularly impudently.' ' His appearance was as   immaculate as ever and his bearing  composed and dignified. '
[Intentionally_act] This is an abstract frame for acts performed by sentient beings. It exists mostly for FE inheritance.  'I carried out the deed easily .'","An event where an Agent intentionally carries out actions according to a plan, rule, or behavioral standard to achieve or maintain a desired state or outcome.",anti-cumulative,anti-homeomeric,durative,agentive
Exchange,"Exchange, Exchange currency","[Exchange] Two parties, the Exchangers, each give and receive from the other Themes. The parties are also construable separately as Exchanger_1 and Exchanger_2,  in which case the Themes may be construed separately, too, as Theme_1 and Theme_2.   'They swapped the island with the Neapolitan government of the day for the much smaller Capri.' 'Then the teams swapped their draftees.' 'We exchanged addresses and he told us that next year when we are in Aruba we will visit with his family there. '   ''  Notice that this frame is to be differentiated from the Replacing frame, where there is no notion of trade between two parties and the focus is only on the relationship between two items that successively fulfill a function or participate in a relation. 
[Exchange_currency] A Money_owner exchanges Sum_1 in the  Source_currency for Sum_2 in the Target_currency at some Exchange_service.  'After checking into the Intourist-operated $30-a-day Hotel Zerafshon, we each exchanged $50 for Uzbek currency with a shifty loiterer in the lobby at the rate .'  'We recently exchanged $100 for Â£64.00 UK pounds.'  'If he exchanged the money into Deutsch-marks, his 18 marks in Germany can just barely obtain four Big Macs.'  'He said the most crucial evidence was that of former police reservist, Simo Petersen-Jessen, now in Australia, who had converted the money into rands.'  ","An event where two parties each give something and receive something from each other, resulting in a mutual transfer of items, goods, or information.",anti-cumulative,homeomeric,atomic,agentive
Expend resource,Expend resource,[Expend_resource] An Agent uses a Resource which is consumed and unavailable for future use.  'We exhausted our supply of oil long ago.',"An event where an Agent uses up a finite Resource, making it unavailable for further use.",anti-cumulative,anti-homeomeric,durative,agentive
Research,"Experimentation, Research","[Experimentation] An Experimenter conducts an Experiment based on a Hypothesis.  This Experiment contains a Control_group or Control_group_member which is compared with a Treatment_group or Treated_individual in order to determine the Result. '' 'Johann's experiment proved the new drug was effective in treating the disease.'  'Jacob placed the control group under a strong light for 20 hours each day.'   'Rolf tested his hypothesis in Vienna in 1973.'
[Research] A Researcher (an individual a group or institution) attempts to answer a Question by means of consulting literature,  observation, or conducting experiments in a particular Field pertinent to the Question. The Question may be underspecified in the form of a Topic.   ' Simmons and Nadel did research pertaining to Ardea purpurea and Egretta garzetta in 1998'","An agent systematically investigates a question or hypothesis by consulting evidence, making observations, or conducting experiments to discover or verify knowledge.",cumulative,anti-homeomeric,durative,agentive
Extradition,Extradition,"[Extradition] A Suspect in a Current_jurisdiction is forced by Authorities (of the Current_jurisdiction) to go to the Crime_jurisdiction, i.e. the jurisdiction which requested that the Suspect be handed over for trial for a crime which he or she is suspected to have committed in the Crime_jurisdiction.  The purpose or reason for the extradition may also be expressed.  'The fraud was extradited from Venezuela to the US.' ",An event where Authorities transfer a Suspect from their current jurisdiction to another jurisdiction (the Crime_jurisdiction) to face legal proceedings for an alleged crime.,anti-cumulative,anti-homeomeric,durative,agentive
Filling,"Filling, Container focused placing","[Filling] These are words relating to filling containers and covering areas with some thing, things or substance, the Theme. The area or container can appear as the direct object with all these verbs, and is designated Goal because it is the goal of motion of the Theme. Corresponding to its nuclear argument status, it is also affected in some crucial way, unlike goals in other frames.  'Lionel Hutz coated the wall with paint. '
[Container_focused_placing] An Agent or Cause affects a Goal location by moving a Theme, but without necessarily filling or covering it.  This frame is for Inheritance purposes.","An event where an Agent or Cause moves a Theme into or onto a Goal (such as a container or area), typically to fill, cover, or affect the Goal's state through the placement of the Theme.",cumulative,anti-homeomeric,durative,non-agentive
Rewards and punishments,"Fining, Execution,
Rewards and punishments, Corporal punishment","[Fining] The Payer is (legally) forced to pay a Fine by an official Speaker as a punishment for some action (the Reason).  The Speaker represents an entity which receives the payment. 'They were fined approximately $3.1 billion dollars for their knowing, malicious injury to consumers.' Compare to: Citing. 
[Execution] An Executioner punishes an individual (Executed) with death as a consequence of some action of the Evaluee (the Reason).  'The hooded man hanged the thief.'
[Rewards_and_punishments] An Agent (the punisher or rewarder) performs a Response_action on an Evaluee for a Reason, the Evaluee's actions or beliefs.   Means and Instrument may also be indicated. The goal of the punishment/reward is  to discourage/encourage the actions or beliefs.  Words in this frame presuppose that a judgment of the Evaluee has occurred and that the Evaluee is (or becomes) aware of the judgment.  This judgment was performed by a cognizer which is either the same as the Agent, or, minimally, a representative of the same institution.  'His punishment of the prisoners was too harsh.' 'Her punishment  was too harsh.' 'The penalty for this crime is death. ' 'I believe that this behaviour should be subject to disciplinary action.'
[Corporal_punishment] Blend of Rewards_and_punishments and Bodily_injury in which the Agent performs some action intended to cause Bodily harm to the Evaluee as a consequence of some action or belief of the Evaluee (the Reason).  'The Sheriff flogged him for his crimes.' ","An authority enforces a consequence on an individual as a response to their actions or beliefs, aiming to punish or regulate behavior.",anti-cumulative,homeomeric,atomic,agentive
Forming relationships,Forming relationships,[Forming_relationships] Partner_1 interacts with Partner_2 (also collectively expressible as Partners) to change their social relationship.    'I befriended the little pony by giving him a piece of apple.',An event where two entities interact in a way that establishes or modifies a social relationship between them.,anti-cumulative,anti-homeomeric,durative,agentive
Come together,"Gathering up, Come together","[Gathering_up] This frame describes an Agent's gathering of Individuals (people or entities) into a group, the  Aggregate, defined by relative proximity.  'The police gathered the suspects into a line-up.' Compare this frame with Congregating, and contrast it with Amalgamating.
[Come_together] In this frame a group of Individuals meet to form a Configuration. The Individuals or the Configuration may be expressed as the external argument of the predicates in this frame. In this frame, it is ambiguous whether or not the Individuals intentionally come together.  In an alternative construal, a grammatically more prominent Party_1 congregates with a Party_2, expressed as an oblique phrase. If this asymmetric construal is chosen, Purpose relates only to Party_1. '' The congregating happens in a certain Place and at a certain Time. '' 'The crowd came together in the courtyard.' 'The architects amassed in the lobby.' ","An event where individuals or entities are brought together by an Agent (gathering up) or come together on their own (congregating) to form a group or configuration, usually based on proximity.",anti-cumulative,anti-homeomeric,durative,non-agentive
Body movement,"Gesture, Body movement","[Gesture] The words in this frame have to do with non-verbal communication. Topic is not normally expressed with these words. This seems to be related to the absence of a verbal code in cases of gestural communication. Topic can be viewed as a partial characterization of a Message, but such partial characterization is either difficult or irrelevant in the absence of a verbal code.   'I gestured with my hand for him to come over.'
[Body_movement] This frame contains words for motions or actions an Agent performs using some part of his/her body.   A number of words in this frame occur as blends with Communication, in which the action has an Addressee.  For example,   'Pat nodded at Kim.'  These examples differ from Communication.Gesture in that no specific message need be expressed, as in  'She nodded to him to sit down.'  Since this frame involves a particular type of motion, it contains the frame elements Source, Path, Goal and Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.  'The boy swung his legs from under the table.'","An event where an Agent uses body movements, either communicatively or non-communicatively, to perform an action or convey meaning, typically without the use of verbal language.",cumulative,anti-homeomeric,durative,agentive
