EventType,Generic_Definition,Cumulativity,Homeomericity,TemporalExtent,Agentivity,CumulativityJustification,HomeomericityJustification,TemporalExtentJustification,AgentivityJustification
Commitment,"An event where a Speaker pledges or undertakes to perform a specific action in the future, directed toward or concerning an Addressee.",anti-cumulative,anti-homeomeric,atomic,agentive,"The event is labeled 'anti-cumulative' because each instance of a pledge or undertaking is unique and specific to its context, and combining multiple instances does not result in a larger whole that is still an instance of the same type.","The event is labeled 'anti-homeomeric' because it involves different subactivities such as the speaker making the pledge and then performing the specific action in the future, which are not instances of the same type.","The event is labeled 'atomic' because the act of pledging or undertaking to perform a specific action is a singular, indivisible occurrence that does not extend over time or have distinct phases.","The event is labeled 'agentive' because it involves a Speaker intentionally initiating a pledge or undertaking to perform a specific action in the future, which indicates a clear purpose or goal."
Committing crime,"An event where a Perpetrator or Wrongdoer intentionally engages in an act that violates legal, social, or moral codes, thereby committing a crime, offense, or misdeed.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because each instance of a crime, offense, or misdeed is a distinct violation and cannot be aggregated into a larger whole that is still considered a single instance of the same type of violation.","The event is labeled 'anti-homeomeric' because the act of committing a crime involves various subactivities such as planning, execution, and escape, which are not all instances of the same type as the overall event of committing a crime.","The event is labeled 'durative' because the act of committing a crime, offense, or misdeed typically involves a sequence of actions that unfold over time, such as planning, execution, and escape, which can be segmented into distinct phases.","The event is labeled 'agentive' because it involves a Perpetrator or Wrongdoer intentionally initiating an act that violates legal, social, or moral codes, indicating a clear purpose or goal."
Competition,"An event where Participants engage in a structured, rule-governed activity to achieve an advantageous outcome, often evaluated by criteria such as rank or score.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the aggregation of multiple instances of the event does not result in another instance of the same event type, as each instance is a separate, structured activity with its own outcome.","The event is labeled 'anti-homeomeric' because it involves a structured, rule-governed activity with distinct subactivities, such as different stages or phases of the game, each of which may not be an instance of the same event type.","The event is labeled 'durative' because it involves a structured activity that unfolds over time, with different stages such as the start of the activity, the progression, and the final outcome, which can be evaluated by criteria such as rank or score.","The event is labeled 'agentive' because it involves participants intentionally engaging in a structured activity with a specific goal of achieving an advantageous outcome, indicating a clear purpose and goal-directed initiation."
Giving,"An event where a Benefactor, Donor, or Offerer initiates the transfer or availability of a Benefit, Theme, or Good to a Beneficiary or Recipient, resulting in a new possession or favorable situation for the Receiver, typically motivated by generosity or willingness rather than obligation.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of the event, such as multiple acts of giving or offering, can be aggregated into a larger whole that is still considered an act of giving or offering.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the initiation of the transfer by the Benefactor, Donor, or Offerer, and the receipt of the Benefit, Theme, or Good by the Beneficiary or Recipient, which are not instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, including the initiation of the transfer, the actual transfer, and the resulting new possession or favorable situation for the receiver.","The event is labeled 'agentive' because it involves an intentional action initiated by a Benefactor, Donor, or Offerer with a specific goal of transferring a Benefit, Theme, or Good to a Beneficiary or Recipient."
Confronting problem,"An event or state where an Agent or Experiencer faces a challenge, obstacle, or negative Issue that affects their ability to act or complete an Activity, typically requiring effort, adaptation, or resolution.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of facing a challenge or obstacle is a distinct event and cannot be aggregated into a larger whole without losing its unique identity and context.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as facing a challenge, adapting, and resolving the issue, which are not all instances of the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, including facing a challenge, dealing with its effects, and potentially resolving it, all of which can be segmented into distinct stages.","The event is labeled 'agentive' because it involves an Agent or Experiencer intentionally facing and overcoming a challenge or obstacle, indicating a clear goal or purpose."
Conquering,"An event where a Conqueror successfully invades and takes control over a Theme, resulting in the Theme losing its autonomy, and possibly sustaining material damage.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of successful invasions do not aggregate into a larger instance of the same event type, as each invasion is a distinct occurrence with unique consequences and outcomes.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as invasion, conquest, and loss of autonomy, each of which may not be an instance of the same event type.","The event is labeled 'durative' because the process of invasion, conquest, and loss of autonomy unfolds over a period of time and can be divided into distinct stages such as planning, execution, and aftermath.","The event is labeled 'agentive' because it involves a Conqueror intentionally initiating an invasion with the specific goal of taking control over a Theme, demonstrating clear intent and purpose."
Containing,An event or state where a Container physically encompasses or encloses some Contents within its boundaries.,cumulative,homeomeric,durative,non-agentive,"The event is labeled 'cumulative' because multiple instances of a container enclosing contents can be combined into a larger instance of the same event, such as multiple boxes each containing items being combined into a larger container holding all the boxes and their contents.","The event is labeled 'homeomeric' because every temporal part of the event, from the beginning to the end, consistently involves the container physically encompassing or enclosing its contents, without any change in the type of event.","The event is labeled 'durative' because the process of a container physically encompassing or enclosing contents within its boundaries involves a sequence of actions that unfold over time, such as opening the container, placing the contents inside, and closing the container.","The event is labeled 'non-agentive' because while it involves a container and contents, the act of encompassing or enclosing does not necessarily require intentional action or a specific goal."
Attack,"An event where an Assailant intentionally initiates aggressive physical action against a Victim or Target, typically aiming to cause harm, damage, or domination, regardless of whether the Assailant survives the attack.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of an assailant initiating aggressive physical action cannot be aggregated into a larger whole that is still considered the same event, as each attack is a distinct occurrence.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the Assailant's initiation of the attack, the actual physical aggression, and the potential harm or damage to the Victim, which are not all instances of the same type of event.","The event is labeled 'durative' because it unfolds over time with distinct stages such as the initiation of the attack, the actual physical aggression, and the aftermath, regardless of whether the Assailant survives the attack.","The event is labeled 'agentive' because it involves an assailant intentionally initiating an aggressive action with a specific goal to cause harm, damage, or domination, demonstrating clear intent and purpose."
Scrutiny,"An event where an Agent carefully examines or questions an Entity (such as a person, object, or situation) to uncover, verify, or detect specific information, characteristics, or issues, often with heightened attention or scrutiny.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because each instance of careful examination or questioning is unique and distinct, and combining multiple instances does not result in a larger whole that is still an instance of the same type of event.","The event is labeled 'anti-homeomeric' because the process of examination or questioning involves distinct subactivities such as observing, asking, analyzing, which are not all instances of the same type of event.",The event is labeled 'durative' because the process of examining or questioning an entity to uncover specific information or issues inherently involves multiple stages and extends over a period of time.,"The event is labeled 'agentive' because it involves an agent intentionally initiating the action of examining or questioning an entity with the specific goal of uncovering, verifying, or detecting information, characteristics, or issues."
Create artwork,"An event where a Creator intentionally produces a physical artifact or representation, often using culturally recognized techniques or craftsmanship, to depict, symbolize, or evoke an entity, event, or idea.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the creation of multiple distinct artifacts or representations does not aggregate into a larger instance of the same event, as each creation event is unique and cannot be merged without losing its individual identity.","The event is labeled 'anti-homeomeric' because the process of creating a physical artifact or representation involves various distinct subactivities (like designing, crafting, refining), each of which may not be an instance of the overall event type of 'creating an artifact'.","The event is labeled 'durative' because the process of creating a physical artifact or representation involves multiple stages and extends over time, from conceptualization to completion.","The event is labeled 'agentive' because it involves a Creator who intentionally and purposefully uses specific techniques to produce a physical artifact or representation, indicating a clear goal or purpose."
Criminal investigation,An event where an Investigator systematically examines and gathers information to determine the circumstances of a suspected criminal Incident.,anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each investigation of a suspected criminal incident is a distinct occurrence and combining multiple investigations does not result in another instance of the same type of event.,"The event is labeled 'anti-homeomeric' because the process of an investigator systematically examining and gathering information involves various distinct subactivities such as interviewing witnesses, collecting evidence, and analyzing data, which are not all instances of the same type.",The event is labeled 'durative' because the process of an investigator systematically examining and gathering information to determine the circumstances of a suspected criminal incident involves multiple stages and extends over a period of time.,The event is labeled 'agentive' because it involves an investigator intentionally initiating a systematic examination with the specific goal of gathering information about a suspected criminal incident.
Cure,"An event where a Healer successfully eliminates an Affliction from a Patient, restoring the Patients health, often through some form of Treatment or Medication.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of a healer successfully eliminating an affliction from a patient cannot be combined into a larger event of the same type, as each healing event is distinct and specific to the individual patient and affliction.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the Healer diagnosing the Affliction, administering Treatment or Medication, and the Patient's health being restored, which are not all instances of the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, including the stages of diagnosing the affliction, administering treatment or medication, and the patient's recovery.",The event is labeled 'agentive' because it involves a Healer intentionally initiating a specific action (Treatment or Medication) with a clear goal of eliminating an Affliction and restoring the Patient's health.
Damaging,"Damaging is an event where something causes a negative change to another thing, leaving it in a worse condition than before.",anti-cumulative,anti-homeomeric,durative,non-agentive,"The event ""damaging"" is labeled 'anti-cumulative' because multiple instances of damage cannot be combined to form a larger instance of the same type of damage, as each damage event is unique and distinct in its cause and effect.","The event ""damaging"" is labeled 'anti-homeomeric' because it involves distinct subactivities such as the initial impact, the process of causing harm, and the final state of damage, which are not all instances of the same type of event.","The event ""damaging"" is labeled 'durative' because it involves a process that unfolds over time, where the object transitions from its original state to a worse condition, which can be segmented into distinct phases.","The event ""damaging"" is labeled 'non-agentive' because while it may involve intentional action, it can also occur naturally or accidentally without a specific goal or purposeful initiation."
Death,"An event where a Protagonist ceases to live, and a connected Sufferer experiences emotional loss due to that death.",anti-cumulative,anti-homeomeric,durative,anti-agentive,"The event is labeled 'anti-cumulative' because the death of a Protagonist and the emotional loss experienced by a Sufferer are distinct, non-overlapping instances that cannot be merged into a larger whole without changing the nature of the event.","The event is labeled 'anti-homeomeric' because it consists of two distinct subevents: the Protagonist ceasing to live and the Sufferer experiencing emotional loss, which are not instances of the same type.","The event is labeled 'durative' because it unfolds over time, with distinct stages such as the protagonist's death and the subsequent emotional loss experienced by the sufferer.","The event is labeled 'anti-agentive' because the death of the Protagist, which is a natural or external event, causes the Sufferer to experience emotional loss, without any intentional action causing the event."
Deciding,"An event where a Cognizer evaluates options and either reaches a decision or fluctuates between possible choices regarding an entity, action, or issue.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the process of evaluating options and reaching a decision is a distinct, individual occurrence that cannot be merged with another similar event without losing its unique context and outcome.",The event is labeled 'anti-homeomeric' because the process of evaluating options and reaching a decision involves distinct subactivities that are not all instances of the same type.,"The event is labeled 'durative' because the process of evaluating options and reaching a decision inherently involves a progression of thoughts and considerations, which unfolds over time and can be divided into distinct stages.","The event is labeled 'agentive' because it involves a Cognizer intentionally evaluating options and making decisions, which indicates a clear purpose or goal."
Defending Repel,An event where a Defender actively resists or counters an attack made by an Assailant on a Victim.,anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of a Defender resisting or countering an attack by an Assailant on a Victim is a distinct occurrence and cannot be aggregated into a larger whole without losing its unique identity.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the Assailant's attack and the Defender's counteraction, which are not instances of the same type.","The event is labeled 'durative' because it unfolds over time with distinct stages such as the Assailant's attack, the Defender's recognition of the attack, and the active resistance or counter by the Defender.",The event is labeled 'agentive' because it involves the Defender intentionally initiating an action (resisting or countering an attack) with a specific goal (protecting the Victim).
Destroying,"An Agent or Cause acts on a Patient in such a way that the Patient is fundamentally degraded  either by ceasing to exist, being broken into non-cohesive parts, or losing the ability to perform its intended function.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the degradation of a Patient cannot be aggregated; once a Patient ceases to exist, is broken into non-cohesive parts, or loses its functionality, these instances cannot be combined to form a larger instance of the same event type.","The event is labeled 'anti-homeomeric' because the process of degradation involves different stages and subactivities, such as the initial act of degradation, the actual breaking or damaging, and the final state of being degraded, which are not instances of the same event type.","The event is labeled 'durative' because the process of degradation, whether it's ceasing to exist, being broken into parts, or losing functionality, unfolds over a period of time and can be divided into distinct stages.","The event is labeled 'agentive' because it involves an Agent or Cause intentionally acting on a Patient with a specific goal of degrading it, indicating a purposeful initiation of the event."
Dispersal,"An event where an Agent or Cause moves Individuals from a confined Source to a broader Goal area, resulting in their spread or scattering.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of scattering or spreading from a confined source to a broader area can be combined into a larger event of the same type, without losing the identity of the event type.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as moving individuals from a source, their journey, and their eventual spread or scattering in the goal area, which are not all instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, from the initial movement of individuals from a confined source to their eventual spread or scattering in a broader goal area, which can be segmented into distinct stages.","The event is labeled 'agentive' because it involves an Agent or Cause intentionally initiating the movement of Individuals from a confined Source to a broader Goal area, indicating a clear purpose or goal."
Escaping,"An event where a living being or entity moves intentionally to avoid danger, threat, capture, or undesirable conditions, often by leaving, dodging, fleeing, or escaping from a source, pursuer, or harmful situation.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of escaping or avoiding danger cannot be combined into a larger instance of the same event type, as each escape or avoidance is a distinct occurrence with its own unique circumstances and outcomes.","The event is labeled 'anti-homeomeric' because it involves various distinct subactivities such as recognizing danger, deciding to move, and the act of moving itself, which are not all instances of the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, with distinct stages such as recognizing danger, deciding to move, and then executing the movement to avoid the threat.",The event is labeled 'agentive' because it involves a living being or entity intentionally initiating movement with the specific goal of avoiding danger or undesirable conditions.
Wearing,"An event or state where a Wearer puts on, has on, or is characterized by wearing Clothing, which covers or adorns parts of their body.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of wearing clothing, such as putting on a hat and then a coat, can be aggregated into a larger event of getting dressed, which is still an instance of the same type of event.","The event is labeled 'anti-homeomeric' because the process of wearing clothing involves distinct subactivities such as selecting the clothing, putting it on, and then being in a state of wearing it, which are not all instances of the same type.","The event is labeled 'durative' because the process of putting on clothing extends over time and can be divided into distinct stages, such as selecting the clothing, putting each piece on, and adjusting for comfort or style.","The event is labeled 'agentive' because it involves the intentional action of a Wearer (the agent) putting on or wearing clothing with a specific purpose, which is to cover or adorn parts of their body."
Arriving,"An agent or theme moves toward and reaches a goal location, often to fulfill a purpose such as a visit, with or without prior arrangement.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of moving towards and reaching a goal location cannot be combined into a larger instance of the same event type, as each movement and arrival is a distinct occurrence with its own specific context and purpose.","The event is labeled 'anti-homeomeric' because it consists of distinct subactivities such as moving towards a location and reaching the goal, which are not instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, including the agent moving towards a location and reaching it, which can be segmented into distinct phases.","The event is labeled 'agentive' because it involves an agent or theme intentionally moving towards a goal location, often with a specific purpose such as a visit, indicating a clear intent and goal-directed action."
Earnings and losses,"An event or state where an Earner gains or loses value based on providing goods or services, typically reflecting the net effect of transactions, including potential costs.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of providing goods or services can be aggregated into a larger whole, such as total earnings or losses, which is still an instance of the same type of event.","The event is labeled 'anti-homeomeric' because it involves multiple distinct subactivities such as providing goods or services, conducting transactions, and incurring costs, each of which may not be an instance of the same event type.","The event is labeled 'durative' because the process of an Earner gaining or losing value based on providing goods or services unfolds over time and can be segmented into distinct phases such as the transaction, delivery of goods or services, and the calculation of net effect.","The event is labeled 'agentive' because it involves the intentional action of the Earner providing goods or services with the specific goal of gaining or losing value, indicating a clear purpose or goal."
Education teaching,"An event where a Teacher imparts knowledge, skills, facts, or principles to a Student through instruction, aiming to enable learning or mastery over a subject or capability.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of teaching cannot be aggregated into a larger whole that is still considered a single instance of teaching, as each teaching session is distinct and non-overlapping.","The event is labeled 'anti-homeomeric' because the teaching process involves distinct subactivities such as explanation, demonstration, and assessment, which are not all instances of the same type.","The event is labeled 'durative' because the process of a teacher imparting knowledge to a student is not instantaneous but unfolds over time, often involving distinct stages such as introduction of concepts, practice, and assessment.",The event is labeled 'agentive' because it involves a teacher (the agent) intentionally initiating the process of imparting knowledge or skills with a specific goal of enabling learning or mastery over a subject.
Emergency,A critical situation requiring immediate action to prevent or respond to a harmful event.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of a critical situation cannot be combined to form a larger instance of the same event type, as each situation requires its own unique and immediate response.","The event is labeled 'anti-homeomeric' because a critical situation requiring immediate action involves various distinct subactivities such as identifying the problem, planning the response, and executing the action, which are not all instances of the same type.","The event is labeled 'durative' because a critical situation requiring immediate action implies a process that unfolds over time, involving stages such as identifying the problem, planning the response, and executing the action.",The event is labeled 'agentive' because it requires intentional and purposeful action by an agent to prevent or respond to a harmful event.
Emptying,"An event where an Agent or Cause removes some or all of the contents (Theme) from a Source (typically a container or area), altering the Sources state toward being emptier.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of removing contents from a source do not aggregate into a larger whole that is still an instance of the same type, as each removal event is distinct and does not merge with another.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the act of accessing the contents, the act of removing the contents, and the resulting state of the source becoming emptier, which are not all instances of the same type.","The event is labeled 'durative' because the act of removing contents from a source typically involves a process that unfolds over time, with distinct stages such as initiating the removal, the act of removal itself, and the final state of the source being emptier.","The event is labeled 'agentive' because it involves an agent or cause intentionally initiating the action of removing contents from a source, which indicates a clear goal or purpose."
Action,"An event where an Agent intentionally carries out actions according to a plan, rule, or behavioral standard to achieve or maintain a desired state or outcome.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the aggregation of multiple instances of planned actions does not necessarily result in another instance of the same type, as each action is distinct and designed to achieve a specific outcome.","The event is labeled 'anti-homeomeric' because the actions carried out by the agent according to a plan or rule can involve different subactivities or steps, which may not all be instances of the same event type.","The event is labeled 'durative' because it involves a process that extends over time, consisting of multiple actions or stages to achieve or maintain a desired state or outcome.",The event is labeled 'agentive' because it involves an agent intentionally carrying out actions according to a plan or rule with the aim of achieving a specific outcome.
Exchange,"An event where two parties each give something and receive something from each other, resulting in a mutual transfer of items, goods, or information.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the mutual transfer of items, goods, or information between two parties is a distinct event and combining multiple instances of such transfers does not create a larger instance of the same event type.","The event is labeled 'anti-homeomeric' because it consists of distinct subactivities, namely the giving and receiving actions by each party, which are not instances of the same type.","The event is labeled 'durative' because the process of mutual transfer involves distinct stages such as the decision to exchange, the act of giving, and the act of receiving, which unfold over a certain period of time.","The event is labeled 'agentive' because it involves intentional actions initiated by both parties with the specific goal of exchanging items, goods, or information."
Expend resource,"An event where an Agent uses up a finite Resource, making it unavailable for further use.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because once a finite resource is used up, combining multiple instances of this event does not result in another instance of the same type, as the resource cannot be made unavailable for further use again.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the agent accessing the resource and then using it up, which are not instances of the same type.","The event is labeled 'durative' because the process of using up a finite resource involves a progression and unfolds over time, with the resource gradually diminishing until it becomes unavailable for further use.",The event is labeled 'agentive' because it involves an intentional action initiated by an agent (using up a finite resource) with a specific goal (making it unavailable for further use).
Research,"An agent systematically investigates a question or hypothesis by consulting evidence, making observations, or conducting experiments to discover or verify knowledge.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because each instance of investigation is unique and distinct, and combining multiple investigations does not result in a larger investigation of the same type, as each investigation has its own unique question or hypothesis.","The event is labeled 'anti-homeomeric' because the process of systematic investigation involves various distinct subactivities such as consulting evidence, making observations, and conducting experiments, which are not instances of the same type.","The event is labeled 'durative' because the process of systematic investigation involves multiple stages such as consulting evidence, making observations, and conducting experiments, which unfold over a period of time.",The event is labeled 'agentive' because it involves an agent (the investigator) intentionally initiating the process of investigation with a specific goal or purpose - to discover or verify knowledge.
Extradition,An event where Authorities transfer a Suspect from their current jurisdiction to another jurisdiction (the Crime_jurisdiction) to face legal proceedings for an alleged crime.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because transferring a suspect multiple times does not aggregate into a larger instance of the same event, each transfer is a distinct event with its own unique circumstances and jurisdictions.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the apprehension of the suspect, the transfer process, and the arrival at the new jurisdiction, which are not all instances of the same type of event.","The event is labeled 'durative' because the process of transferring a suspect from one jurisdiction to another involves several stages, such as the decision to transfer, the actual transportation, and the arrival in the new jurisdiction, which unfold over a period of time.","The event is labeled 'agentive' because it involves intentional, purposeful action by authorities (the agents) to transfer a suspect from one jurisdiction to another for legal proceedings."
Filling,"An event where an Agent or Cause moves a Theme into or onto a Goal (such as a container or area), typically to fill, cover, or affect the Goal's state through the placement of the Theme.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the act of moving an object into or onto a goal cannot be aggregated into a larger whole that is still an instance of the same type, as each movement event is distinct and non-overlapping.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the movement of the Theme and its placement onto the Goal, which are not instances of the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, from the initial movement of the Theme to its eventual placement onto or into the Goal, which can be segmented into distinct stages.","The event is labeled 'agentive' because it involves an Agent or Cause intentionally moving a Theme into or onto a Goal, indicating a clear purpose or goal behind the action."
Rewards and punishments,"An authority enforces a consequence on an individual as a response to their actions or beliefs, aiming to punish or regulate behavior.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of an authority enforcing a consequence is distinct and cannot be aggregated into a larger whole without losing its unique context and identity.,"The event is labeled 'anti-homeomeric' because the process of an authority enforcing a consequence involves distinct subactivities such as identifying the action or belief, deciding on the consequence, and implementing the punishment or regulation, which are not all instances of the same type.","The event is labeled 'durative' because the process of enforcing a consequence involves several stages, such as identifying the individual's actions or beliefs, deciding on the appropriate consequence, and then implementing the enforcement, which all unfold over a period of time.",The event is labeled 'agentive' because it involves an authority intentionally initiating an action (enforcing a consequence) with a specific goal (to punish or regulate behavior).
Forming relationships,An event where two entities interact in a way that establishes or modifies a social relationship between them.,cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of social interaction can be combined to form a larger social relationship, which is still an instance of the same type of event.","The event is labeled 'anti-homeomeric' because the interaction between the two entities, which establishes or modifies a social relationship, can involve different subactivities or stages (like introduction, conversation, agreement), which are not all instances of the same type.",The event is labeled 'durative' because the interaction between two entities that establishes or modifies a social relationship is a process that unfolds over time and can be divided into different stages or phases.,The event is labeled 'agentive' because it involves intentional actions initiated by the entities with the specific goal of establishing or modifying a social relationship.
Come together,"An event where individuals or entities are brought together by an Agent (gathering up) or come together on their own (congregating) to form a group or configuration, usually based on proximity.",cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'cumulative' because multiple instances of individuals or entities coming together can be aggregated into a larger gathering or congregation, which is still an instance of the same event type.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as individuals or entities being gathered by an agent or congregating on their own, which do not all fall under the same event type.","The event is labeled 'durative' because the process of gathering or congregating individuals or entities extends over time and involves distinct stages, such as the initiation of the gathering, the actual process of coming together, and the final formation of the group.","The event is labeled 'non-agentive' because while it may involve intentional actions (individuals or entities choosing to join the group), it does not necessarily require a specific, goal-directed initiation by an agent, as the group can form naturally through congregating."
Body movement,"An event where an Agent uses body movements, either communicatively or non-communicatively, to perform an action or convey meaning, typically without the use of verbal language.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of body movements, either communicatively or non-communicatively, can be combined to form a larger sequence of actions or convey a more complex meaning, while still being classified as the same type of event.","The event is labeled 'anti-homeomeric' because the various temporal parts of the event, such as the initial body movement, the action performed, and the conveyed meaning, may not all be instances of the same type of event, indicating a heterogeneity in the event's subactivities.","The event is labeled 'durative' because the act of using body movements to perform an action or convey meaning typically involves a sequence of movements over time, which can be segmented into distinct phases or stages.","The event is labeled 'agentive' because it involves an agent intentionally using body movements to perform an action or convey meaning, indicating a clear goal or purpose."
Getting,"An event where a Recipient, initially without a Theme, acquires possession of it, emphasizing the change in ownership or control over the Theme.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the aggregation of multiple instances of this event does not result in another instance of the same event type, as each instance represents a unique change in ownership or control over the Theme.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the initial state of not possessing the Theme, the action of acquiring, and the final state of possessing the Theme, which are not all instances of the same type.","The event is labeled 'durative' because the process of a recipient acquiring possession of a theme involves a change and transition that unfolds over time, indicating it has distinct phases or stages.",The event is labeled 'agentive' because it involves an intentional action initiated by a Recipient with the specific goal of acquiring possession or control over a Theme.
Having or lacking access,"A theme either has or is denied the ability to reach or use a valuable location, resource, or service.",anti-cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'anti-cumulative' because the act of one theme reaching or using a valuable location, resource, or service does not combine with another similar act to form a larger instance of the same event type.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as reaching or using a valuable location, resource, or service, which may not all be instances of the same event type.","The event is labeled 'durative' because it involves a process that unfolds over time, such as reaching or using a location, resource, or service, which can be segmented into distinct phases or stages.","The event is labeled 'non-agentive' because while it involves a theme's interaction with a location, resource, or service, it does not necessarily imply that the theme intentionally initiated the event with a specific goal or purpose."
Hiding objects,An event where an Agent makes an Object perceptually inaccessible to others by placing it in a location or covering it with an Obstruction.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the act of making an object perceptually inaccessible multiple times does not aggregate into a larger instance of the same event, as each act is distinct and non-overlapping.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the agent grabbing the object, moving it to a new location or covering it, which are not all instances of the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, including the agent's action of making the object inaccessible, and the subsequent placement or covering of the object, which can be segmented into distinct stages.","The event is labeled 'agentive' because it involves an agent intentionally making an object inaccessible to others, which indicates a clear purpose or goal."
Hindering,"An event where a Hindrance obstructs, delays, or makes it more difficult for a Protagonist or Action to proceed or be completed, without necessarily preventing it entirely.",anti-cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'anti-cumulative' because multiple instances of hindrances cannot be combined to form a larger hindrance without changing the nature of the original event, as each hindrance is unique and distinct in its obstruction or delay.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the initial action of the protagonist, the obstruction by the hindrance, and the subsequent struggle or adjustment of the protagonist, which are not all instances of the same type.","The event is labeled 'durative' because a hindrance that obstructs, delays, or complicates an action implies a process that unfolds over time, with distinct stages of the action being impacted by the hindrance.","The event is labeled 'non-agentive' because while the Hindrance may intentionally obstruct or delay the Protagonist or Action, it does not necessarily have a clear goal-directed initiation to prevent the action entirely."
